classification,topic,a,b,suggestedCanonical,titleSim,intentSim,sameFormula,sameFields,sameOutputs,sameCategory,autoRedirectSafe
complementary,conversiones,calculadora-conversor-talles-calzado-us-ar-eu,calculadora-conversor-talles-ropa-us-ar-eu,,0.43,0.4,false,false,true,true,false
complementary,conversiones,calculadora-conversor-dias-a-horas,calculadora-conversor-meses-a-semanas,,0.29,0.38,false,true,true,true,false
complementary,regla_de_tres,calculadora-fernet-cola-proporciones,calculadora-gin-tonic-proporciones,,0.2,0.38,false,false,false,true,false
complementary,conversiones,calculadora-conversor-bits-a-bytes,calculadora-conversor-tb-a-gb,,0.27,0.36,false,true,true,true,false
complementary,conversiones,calculadora-conversor-dias-a-horas,calculadora-conversor-horas-a-minutos,,0.5,0.36,false,true,true,true,false
complementary,conversiones,calculadora-conversor-dias-a-horas,calculadora-conversor-milimetros-a-pulgadas,,0.5,0.36,false,true,true,true,false
complementary,conversiones,calculadora-conversor-dias-a-horas,calculadora-conversor-semanas-a-dias,,0.43,0.36,false,true,true,true,false
complementary,conversiones,calculadora-conversor-meses-a-semanas,calculadora-conversor-semanas-a-dias,,0.5,0.36,false,true,true,true,false
complementary,regla_de_tres,calculadora-aperol-spritz-proporciones,calculadora-fernet-cola-proporciones,,0.2,0.36,false,false,false,true,false
complementary,agua_diaria,calculadora-cafe-french-press-ratio,calculadora-cafe-ratio-agua-gramos-metodo-preparacion,,0.18,0.35,false,false,false,true,false
complementary,,calculadora-cuota-jardin-maternal-cama-cuna-mensual-2026,calculadora-guarderia-jardin-maternal-costo-caba-mensual,,0.5,0.44,false,false,false,true,false
complementary,,calculadora-calendario-siembra-hemisferio-norte,calculadora-calendario-siembra-hemisferio-sur,,0.33,0.43,false,true,true,true,false
complementary,,calculadora-equipaje-extra-costo-aerolinea,calculadora-equipaje-vuelo-kg-lb-limites,,0.29,0.4,false,false,false,true,false
complementary,,calculadora-youtube-ingresos-vistas-pais,calculadora-youtube-shorts-fund-ingreso,,0.5,0.38,false,false,false,true,false
complementary,,calculadora-monotributo-2026,calculadora-monotributo-categoria-ingresos-tope,,0.33,0.38,false,false,false,true,false
complementary,,calculadora-capacidad-credito-hipotecario,calculadora-cuota-credito-hipotecario-uva-banco-nacion,,0.33,0.36,false,false,false,true,false
