url,query,country,cluster,clicks,impressions,ctr,average_position,action,priority,confidence,reason,data_status
https://hacecuentas.com/mx/calculadora-prima-antiguedad-mexico,,MX,savings,130,4990,0.0261,6.09,OPTIMIZE_TITLE,74,80,"pos 6.1, CTR 2.6% < esperado 5%, ~120 clicks potenciales",AVAILABLE
https://hacecuentas.com/calculadora-palabras-paginas-conversor,,AR,education,24,1930,0.0124,5.63,OPTIMIZE_TITLE,74,80,"pos 5.6, CTR 1.2% < esperado 5%, ~73 clicks potenciales",AVAILABLE
https://hacecuentas.com/valores-bcra,,,other,12,1721,0.007,6.00,OPTIMIZE_TITLE,74,80,"pos 6.0, CTR 0.7% < esperado 5%, ~74 clicks potenciales",AVAILABLE
https://hacecuentas.com/calculadora-dso-dias-promedio-cobro,,AR,business,0,54,0,4.00,KEEP,74,60,"pos 4.0, 54 impr — sin acción prioritaria",AVAILABLE
https://hacecuentas.com/mx/calculadora-pension-imss-ley-73-mexico,,MX,retirement,38,2136,0.0178,6.30,OPTIMIZE_TITLE,73,80,"pos 6.3, CTR 1.8% < esperado 5%, ~69 clicks potenciales",AVAILABLE
https://hacecuentas.com/calculadora-comparador-messi-vs-cristiano-goles-asistencias-titulos,,AR,sports_non_medical,21,1568,0.0134,6.00,OPTIMIZE_TITLE,73,80,"pos 6.0, CTR 1.3% < esperado 5%, ~57 clicks potenciales",AVAILABLE
https://hacecuentas.com/blog/como-calcular-porcentajes,,,other,13,1433,0.0091,6.35,OPTIMIZE_TITLE,73,80,"pos 6.4, CTR 0.9% < esperado 5%, ~59 clicks potenciales",AVAILABLE
https://hacecuentas.com/calculadora-contador-de-palabras-y-caracteres,,AR,education,14,1320,0.0106,7.00,OPTIMIZE_TITLE,73,80,"pos 7.0, CTR 1.1% < esperado 5%, ~52 clicks potenciales",AVAILABLE
https://hacecuentas.com/calculadora-presion-atmosferica-altitud-barometrica,,AR,statistics,69,1211,0.057,4.46,OPTIMIZE_TITLE,73,80,"pos 4.5, CTR 5.7% < esperado 10%, ~52 clicks potenciales",AVAILABLE
https://hacecuentas.com/calculadora-combustible-viaje-auto,,AR,travel,72,649,0.1109,4.12,FIX_CANONICAL,73,90,canonical-distinto,AVAILABLE
https://hacecuentas.com/ec/calculadora-pension-alimenticia-ecuador,,EC,retirement,25,567,0.0441,5.00,OPTIMIZE_TITLE,73,80,"pos 5.0, CTR 4.4% < esperado 10%, ~32 clicks potenciales",AVAILABLE
https://hacecuentas.com/mx/calculadora-tarjeta-credito-interes-cat-mexico,,MX,loans,6,209,0.0287,4.86,OPTIMIZE_TITLE,73,80,"pos 4.9, CTR 2.9% < esperado 10%, ~15 clicks potenciales",AVAILABLE
https://hacecuentas.com/co/calculadora-aportes-arl-colombia-empleador-empleado-riesgo,,CO,taxes,205,5459,0.0376,5.00,OPTIMIZE_TITLE,72,80,"pos 5.0, CTR 3.8% < esperado 5%, ~68 clicks potenciales",AVAILABLE
