vertical,domain,url_articulo,autor,contacto,sala_p0,angulo,estado,fecha_primer_contacto,fecha_followup,url_link_conseguido,sesiones_referidas,notas
laboral,,,,,me-despidieron,indemnizacion y meses de sosten,,,,,,
vivienda,,,,,renovar-alquiler-o-mudarme,costo total y repago de mudanza,,,,,,
impuestos,,,,,monotributo-o-responsable-inscripto,punto de cambio de regimen,,,,,,
finanzas,,,,,cuotas-o-contado,costo en pesos de hoy,,,,,,
jubilacion,,,,,estoy-listo-para-jubilarme,brecha entre haber y gastos,,,,,,
freelance,,,,,cuanto-cobrar-por-hora-freelance,tarifa minima rentable,,,,,,
